id;start_date;end_date;language
1;2019-09-18T20:55:27;2019-09-19T04:09:34;FRENCH
2;2019-09-19T05:45:58;2019-09-19T03:19:32;FRENCH
3;2019-09-19T00:06:31;2019-09-19T06:28:58;SPANISH
4;2019-09-18T21:50:57;2019-09-19T14:37:01;FRENCH
5;2019-09-19T14:25:38;2019-09-19T17:09:31;ENGLISH
6;2019-09-19T03:11:07;2019-09-19T11:30:00;SPANISH
7;2019-09-19T10:19:40;2019-09-18T23:18:02;FRENCH
8;2019-09-19T16:44:29;2019-09-19T02:56:53;ENGLISH
9;2019-09-18T20:21:20;2019-09-19T12:48:31;FRENCH
10;2019-09-19T00:12:49;2019-09-19T05:45:19;SPANISH
