id;calle;codigo_postal;ciudad;state_province
1;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium
2;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland
3;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships
4;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon
5;EXE projection Fresh;support Gorgeous;withdrawal;copying
6;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
8;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate
9;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation
10;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages
